11:01:20.062 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - Connecting
11:01:20.106 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - Connected
11:01:24.788 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 808 613 3, library=870970}
11:01:24.802 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 550 6, library=870970}
11:01:24.809 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 808 614 1, library=870970}
11:01:24.817 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 549 2, library=870970}
11:01:24.825 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 808 616 8, library=870970}
11:01:24.832 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 551 4, library=870970}
11:01:24.839 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 808 617 6, library=870970}
11:01:24.847 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 552 2, library=870970}
11:01:24.854 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 935 8, library=870970}
11:01:24.861 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 806 663 9, library=870970}
11:01:24.869 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 798 890 7, library=870970}
11:01:24.877 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 791 818 6, library=870970}
11:01:24.884 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 774 866 3, library=870970}
11:01:24.891 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 777 035 9, library=870970}
11:01:24.898 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 792 736 3, library=870970}
11:01:24.906 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 776 525 8, library=870970}
11:01:24.913 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 793 870 5, library=870970}
11:01:24.921 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 126 5, library=870970}
11:01:24.928 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 775 298 9, library=870970}
11:01:24.936 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 780 082 7, library=870970}
11:01:24.944 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 800 352 1, library=870970}
11:01:24.951 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 775 646 1, library=870970}
11:01:24.960 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 080 208 5, library=870970}
11:01:24.967 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 230 9, library=870970}
11:01:24.976 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 777 405 2, library=870970}
11:01:24.987 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 812 958 4, library=870970}
11:01:24.999 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 797 481 7, library=870970}
11:01:25.010 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 791 227 7, library=870970}
11:01:25.021 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 798 088 4, library=870970}
11:01:25.033 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 809 471 3, library=870970}
11:01:25.044 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 794 149 8, library=870970}
11:01:25.056 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 813 573 8, library=870970}
11:01:25.068 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 813 194 5, library=870970}
11:01:25.079 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 028 4, library=870970}
11:01:25.090 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 782 4, library=870970}
11:01:25.101 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 780 254 4, library=870970}
11:01:25.116 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 799 111 8, library=870970}
11:01:25.131 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 799 108 8, library=870970}
11:01:25.141 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 815 7, library=870970}
11:01:25.152 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 796 289 4, library=870970}
11:01:25.161 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 797 143 5, library=870970}
11:01:25.171 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 430 1, library=870970}
11:01:25.181 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 799 112 6, library=870970}
11:01:25.189 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 799 109 6, library=870970}
11:01:25.198 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 796 293 2, library=870970}
11:01:25.207 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 780 559 4, library=870970}
11:01:25.215 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 795 5, library=870970}
11:01:25.222 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 895 2, library=870970}
11:01:25.230 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 779 297 2, library=870970}
11:01:25.237 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 713 356 1, library=870970}
11:01:25.245 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 799 9, library=870970}
11:01:25.254 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 004 7, library=870970}
11:01:25.262 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 777 272 6, library=870970}
11:01:25.269 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 823 4, library=870970}
11:01:25.278 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 916 9, library=870970}
11:01:25.287 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 780 930 1, library=870970}
11:01:25.299 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 779 652 8, library=870970}
11:01:25.310 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 779 415 0, library=870970}
11:01:25.321 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 795 047 0, library=870970}
11:01:25.330 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 780 933 6, library=870970}
11:01:25.341 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 080 125 9, library=870970}
11:01:25.351 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 775 281 4, library=870970}
11:01:25.362 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 792 967 6, library=870970}
11:01:25.372 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 801 259 8, library=870970}
11:01:25.383 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 812 873 1, library=870970}
11:01:25.393 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 807 041 5, library=870970}
11:01:25.404 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 812 872 3, library=870970}
11:01:25.414 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 814 061 8, library=870970}
11:01:25.425 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 811 685 7, library=870970}
11:01:25.436 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 699 104 1, library=870970}
11:01:25.445 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 712 521 6, library=870970}
11:01:25.456 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 700 387 0, library=870970}
11:01:25.468 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 714 026 6, library=870970}
11:01:25.478 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 703 754 6, library=870970}
11:01:25.488 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 713 713 3, library=870970}
11:01:25.499 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 709 231 8, library=870970}
11:01:25.509 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 779 342 1, library=870970}
11:01:25.518 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 798 821 4, library=870970}
11:01:25.528 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 796 097 2, library=870970}
11:01:25.537 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 808 922 1, library=870970}
11:01:25.548 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 803 232 7, library=870970}
11:01:25.558 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 803 151 7, library=870970}
11:01:25.568 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 809 987 1, library=870970}
11:01:25.578 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 797 716 6, library=870970}
11:01:25.589 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 796 072 7, library=870970}
11:01:25.599 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 813 377 8, library=870970}
11:01:25.608 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 809 989 8, library=870970}
11:01:25.619 [main] DEBUG d.d.rawrepo.queuebulkload.BulkQueue - id = RecordId{id=0 080 532 7, library=870970}
